nazev;autor;obdobi;druh
Epos o Gigamešovi;;18;proza
Bible: Starý zákon (5 knih Mojžíšových);;18;proza
Bible: Nový zákon;;18;proza
Odysseia;Homér;18;
Ílias;Homér;18;
Lyrika;Sapfó;18;
Král Oidipus;Sofokles;18;
Antigona;Sofokles;18;
Médea;Euripides;18;
Proměny;Ovidius;18;
Píseň o Cidovi;;18;
Tristan a Izolda;;18;
Milion;Marco Polo;18;
Božská komedie;Dante Alighieri;18;
Legenda o sv. Kateřině;;18;
Dekameron;Giovanni Boccaccio;18;
Sonety Lauře;Francesco Petrarca;18;
Závěť;Francois Villon;18;
Sen noci svatojánské;William Shakespeare;18;
Hamlet;William Shakespeare;18;
Král Lear;William Shakespeare;18;
Sonety;William Shakespeare;18;
Důmyslný rytíř Don Quijote de la Mancha;Miguel de Cervantes y Saavedra;18;
Labyrint světa a ráj srdce;Jan Amos Komenský;18;
Co Bůh? Co člověk?;Bedřich Bridel;18;
Cid;Pierre Corneille;18;
Lakomec;Moliere;18;
Tartuffe;Moliere;18;
Bajky;Jean de la Fontaine;18;
Gulliverovy cesty;Jonathan Swift;18;
Skromný návrh;Jonathan Swift;18;
Candide;Voltaire;18;
Nebezpečné známosti;Choderlos de Laclos;18;
Utrpení mladého Werthera;Johann Wolfgang Goethe;18;
Život Lazarilla z Tormesu, jeho příhody a nehody;;18;
Zkrocení zlé ženy;William Shakespeare;18;
Loupežníci;Friedrich Schiller;18;
Rome a Julie;William Shakespeare;18;
Sluha dvou pánů;Carlo Goldoni;18;
Faust;Johann Wolfgang Goethe;19;
Ivanhoe;Walter Scott;19;
Pýcha a předsudek;Jane Austenová;19;
Na větrné hůrce;Emily Brontëová;19;
Evžen Oněgin;Alexandr Sergejevič Puškin;19;
Červený a černý;Stendhal;19;
Chrám Matky Boží v Paříži;Victor Hugo;19;
Otec Goriot;Honoré de Balzac;19;
Petrohradské povídky;Nikolaj Vasiljevič Gogol;19;
Mrtvé duše;Nikolaj Vasiljevič Gogol;19;
Hrdina naší doby;Michail Jurjevič Lermontov;19;
Povídky;Edgar Allan Poe;19;
Havran;Edgar Allan Poe;19;
Stébla trávy;Walt Whitman;19;
Paní Bovaryová;Gustave Flaubert;19;
Květy zla;Charles Baudelaire;19;
Zločin a trest;Fjodor Michajlovič Dostojevskij;19;
Bratři Karamazovi;Fjodor Michajlovič Dostojevskij;19;
Idiot;Fjodor Michajlovič Dostojevskij;19;
Anna Kareninová;Lev Nikolajevič Tolstoj;19;
Poezie;Artur Rimbaud;19;
Zabiják;Emile Zola;19;
Tereza Raquinová;Emile Zola;19;
Miláček;Guy de Maupassant;19;
Oliver Twist;Charles Dickens;19;
Obraz Doriana Graye;Oscar Wilde;19;
Evženie Grandetová;Honoré de Balzac;19;
Démon;Michail Jurjevič Lermontov;19;
Zpověď dítěte svého věku;Alfred de Musset;19;
Dělnící moře;Victor Hugo;19;
Obrazy ze života mého;Karel Hynek Mácha;19;
Pouť krkonošská;Karel Hynek Mácha;19;
Cikáni;Karel Hynek Mácha;19;
Máj;Karel Hynek Mácha;19;
Křest svatého Vladimíra;Karel Havlíček Borovský;19;
Tyrolské elegie;Karel Havlíček Borovský;19;
Kytice;Karel Jaromír Erben;19;
Babička;Božena Němcová;19;
V zámku a podzámčí;Božena Němcová;19;
Divá Bára;Božena Němcová;19;
Povídky malostranské;Jan Neruda;19;
Balady a romance;Jan Neruda;19;
Hřbitovní kvítí;Jan Neruda;19;
Svatý Xaverius;Jakub Arbes;19;
Tři legendy o krucifixu;Julius Zeyer;19;
Okna v bouři;Jaroslav Vrchlický;19;
Kuře melancholik;Josef Karel Šlejhar;19;
Svítání na západě;Otokar Březina;19;
Slezské písně;Petr Bezruč;19;
Selské písně a české znělky;Josef Václav Sládek;19;
ohlasová poezie;František Ladislav Čelakovský;19;
Kalibův zločin;Karel Václav Rais;19;
Maškaráda;Michail Jurijevič Lermontov;;drama
Revizor;Nikolaj Vasiljevič Gogol;;drama
Ženitba;Nikolaj Vasiljevič Gogol;;drama
Král Ubu;Alfréd Jarry;;drama
Višňový sad;Anton Pavlovič Čechov;;drama
Tři sestry;Anton Pavlovič Čechov;;drama
Gazdina roba;Gabriela Preissová;;drama
Lucerna;Alois Jirásek;;drama
Maryša;Alois a Vilém Mrštíkové;;drama
Měsíc nad řekou;Fráňa Šrámek;;drama
R. U. R.;Karel Čapek;;drama
Ze života hmyzu;Karel a Josef Čapkové;;drama
Bílá nemoc;Karel Čapek;;drama
Věc Makropulos;Karel Čapek;;drama
Balada z hadrů;J.Voskovec-J.Werich;;drama
Pygmalion;George Bernard Shaw;;drama
Matka Kuráž a její děti;Bertold Brecht;;drama
Čekání na Godota;Samuel Beckett;;drama
Zahradní slavnost;Václav Havel;;drama
Audience;Václav Havel;;drama
Jakub a jeho pán;Milan Kundera;;drama
Smrt obchodního cestujícího;Arthur Miller;;drama
Plešatá zpěvačka;Eugene Ionesco;;drama
Fyzikové;Friedrich Dürrenmatt;;drama
Tramvaj do stanice Touha;Tennessee Williams;;drama
Kdo se bojí Virginie Woolfové?;Edward Albee;;drama
Návštěva staré dámy;Friedrich Dürrenmatt;;drama
